Id,SalePrice
1461,119421.8229
1462,157163.6827
1463,180956.3362
1464,199436.509
1465,192591.6866
1466,166640.7474
1467,178420.7389
1468,164789.5181
1469,191716.4747
1470,119049.687
1471,186174.0101
1472,97029.431
1473,93860.21378
1474,143791.8469
1475,113170.095
1476,341658.6811
1477,255178.0565
1478,307343.4178
1479,297311.9437
1480,441351.5585
1481,331993.2075
1482,215762.9895
1483,177815.0906
1484,159698.9459
1485,193222.3828
1486,193509.2121
1487,324112.4142
1488,238690.5103
1489,194845.4873
1490,248866.3471
1491,192754.0273
1492,88598.1767
1493,192369.5494
1494,293082.954
1495,284009.4141
1496,235345.1496
1497,173761.0153
1498,167079.4424
1499,157138.7376
1500,154829.8276
1501,179663.301
1502,140758.6651
1503,285637.6212
1504,243155.6628
1505,228574.7444
1506,194462.8441
1507,231738.6273
1508,196262.3806
1509,158176.3945
1510,143551.9524
1511,152456.5795
1512,173320.883
1513,142661.2465
1514,162816.7128
1515,190658.8972
1516,152684.1717
1517,175162.6395
1518,125089.1749
1519,214233.5624
1520,129392.6597
1521,132040.5771
1522,180741.1454
1523,111944.9787
1524,127301.2866
1525,118382.3832
1526,112561.7517
1527,103688.4755
1528,145835.0194
1529,156493.2706
1530,199299.0902
1531,111920.5053
1532,95735.59903
1533,150110.4155
1534,120506.3286
1535,149681.1219
1536,108225.0708
1537,63057.03338
1538,147490.8163
1539,204103.6946
1540,103002.141
1541,145829.0444
1542,141931.7748
1543,180490.9384
1544,81157.80609
1545,121935.7857
1546,139479.0609
1547,129608.132
1548,137309.1917
1549,125691.1859
1550,140155.3474
1551,108897.5439
1552,135034.0951
1553,153115.2259
1554,120313.5792
1555,158670.1117
1556,86087.41638
1557,101471.2112
1558,101777.8616
1559,76715.51022
1560,138295.6233
1561,122278.7304
1562,131586.8982
1563,123125.847
1564,150651.9577
1565,147334.7593
1566,243937.6761
1567,74610.79175
1568,241196.6047
1569,129150.9226
1570,133987.687
1571,120238.4264
1572,141024.9593
1573,234726.8583
1574,121716.2156
1575,237397.0069
1576,256317.89
1577,178742.9233
1578,145107.4663
1579,152540.6805
1580,194545.9054
1581,161735.8964
1582,124562.8243
1583,303057.4021
1584,215979.8872
1585,136465.7369
1586,64794.41874
1587,107342.2251
1588,152035.4548
1589,102308.258
1590,129890.5424
1591,96629.03282
1592,118178.0895
1593,122389.8582
1594,133578.5834
1595,113303.3845
1596,219020.2311
1597,196564.8386
1598,218254.6826
1599,172765.5231
1600,163161.3838
1601,59864.07673
1602,111558.3873
1603,77304.19487
1604,273573.9182
1605,244174.4333
1606,169229.4526
1607,174135.5429
1608,221454.081
1609,180208.368
1610,147988.6616
1611,141084.4784
1612,167870.2953
1613,167720.1572
1614,121525.6328
1615,90163.21474
1616,78971.20191
1617,88977.02853
1618,128680.6118
1619,134645.7662
1620,155963.119
1621,132819.4594
1622,138081.9426
1623,254043.0374
1624,196194.7217
1625,116003.233
1626,171542.2248
1627,193084.1444
1628,282901.051
1629,183068.0819
1630,344766.2489
1631,236631.567
1632,247466.8536
1633,178773.8697
1634,182607.2401
1635,172219.5132
1636,147119.5423
1637,196087.9262
1638,181324.2579
1639,183992.8552
1640,237987.2483
1641,182393.7359
1642,243761.0003
1643,218842.3154
1644,238406.8448
1645,211765.7652
1646,160950.2243
1647,158446.3678
1648,128369.2059
1649,140507.9957
1650,112962.779
1651,119885.2624
1652,98875.70784
1653,101665.1819
1654,140669.087
1655,134349.7501
1656,143883.1476
1657,148926.1415
1658,145915.1617
1659,120137.3371
1660,153806.4066
1661,453713.1336
1662,386596.6065
1663,369563.3424
1664,494866.9489
1665,302945.294
1666,302918.5818
1667,358265.3119
1668,325343.873
1669,310737.9762
1670,340708.5395
1671,265594.7826
1672,412522.1242
1673,302037.6385
1674,245462.0273
1675,202145.1252
1676,197308.0126
1677,227770.4691
1678,466040.0268
1679,400073.786
1680,313916.0348
1681,242525.0009
1682,321993.1829
1683,187029.4196
1684,176176.7838
1685,171861.8808
1686,167627.0366
1687,170443.8859
1688,184904.2885
1689,192650.894
1690,195550.0382
1691,185388.4155
1692,263417.9997
1693,169850.2188
1694,183470.3082
1695,168384.5039
1696,280202.3894
1697,177875.5316
